slug,icon,titre,texte
agadir,🏖️,Plage & surf,"Toute l'année — Agadir a l'une des meilleures conditions de surf du Maroc, vent régulier."
agadir,🏌️,Golf,"Octobre-avril — 3 golfs de référence, températures idéales 20-25°C."
agadir,🥾,Randonnée Anti-Atlas,"Octobre-mars — massif de l'Anti-Atlas accessible depuis Agadir, villages berbères."
agadir,👨‍👩‍👧,Famille,"Avril-mai ou octobre — mer chaude, plage sécurisée, moins de chaleur extrême."
agadir,💰,Budget,"Novembre-mars — hors saison estivale, prix hébergement -30%."
agadir,🍽️,Gastronomie,"Toute l'année — poissons grillés au port, tajines, huile d'argan."
algarve,🏖️,Plage & falaises,"Juillet-août — Praia da Marinha, Ponta da Piedade, Meia Praia."
algarve,🌊,Surf,Octobre-mars — Sagres et Arrifana pour les swells atlantiques.
algarve,🚣,Kayak & grottes,"Juin-septembre — mer calme, grottes de Benagil accessibles."
algarve,👨‍👩‍👧,Famille,"Juin ou septembre — mer 20-22°C, plages sécurisées."
algarve,💰,Budget,"Mars ou novembre — météo correcte, prix -40%."
alicante,🏖️,Plage,"Juin-septembre — Playa de San Juan, eaux calmes et chaudes (26°C)."
alicante,🏛️,Château de Santa Bárbara,"Avril-mai ou octobre — visite sans chaleur, vue panoramique sur la ville."
alicante,🍇,Gastronomie & vins,"Toute l'année — DO Alicante, tapas, riz à la bande noire."
alicante,👨‍👩‍👧,Famille,"Juin ou septembre — mer chaude, plages familiales, moins de monde."
alicante,💰,Budget,"Mai ou octobre — températures agréables, prix -30% vs juillet."
alicante,🥾,Sierra de Aitana,Mars-mai ou octobre — randonnées à 30 min d'Alicante.
amalfi,🏖️,Plage & baignade,"Juin-septembre — plages de Positano et Maiori, mer 24-26°C."
amalfi,🥾,Sentier des Dieux,Mai ou septembre-octobre — randonnée Agerola-Positano.
amalfi,🚢,Excursion bateau,"Juin-septembre — Capri, Grotte bleue depuis Amalfi."
amalfi,👨‍👩‍👧,Famille,"Juin — routes praticables, foule raisonnable."
amalfi,📸,Photographie,"Septembre — lumière d'or, terrasses vides."
amsterdam,🌷,Tulipes & Keukenhof,"Mi-mars à mi-mai — 7 millions de fleurs, Keukenhof ouvert seulement 8 semaines."
amsterdam,🚲,Vélo & canaux,"Mai-septembre — réseau cyclable unique, croisières canaux."
amsterdam,🏛️,Musées,"Toute l'année — Rijksmuseum, Van Gogh, Anne Frank sans files en hiver."
amsterdam,🎉,Fêtes & festivals,"Avril-août — King's Day (27 avril), Pride, festivals open-air."
amsterdam,👨‍👩‍👧,Famille,"Juin-août — NEMO Science Museum, Artis zoo, jours très longs."
amsterdam,💰,Budget,"Novembre-mars — hôtels souvent moins chers, musées accessibles, ambiance locale."
bali,🌴,Plage & surf,"Juin-septembre — côte sud (Seminyak, Canggu). Saison surf côte ouest : avril-octobre."
bali,🛕,Temples & culture,"Mai ou octobre — avant/après la haute saison, moins de monde."
bali,🥾,Trek volcans,Juillet-août — Agung et Batur dans les meilleures conditions de visibilité.
bali,👨‍👩‍👧,Famille,"Juillet-août — saison sèche, activités aquatiques, mais prix élevés."
bali,💆,Retraite / yoga,"Mai ou octobre — moins de monde, tarifs inférieurs, bonne météo."
bangkok,🛕,Temples & palais,"Novembre-février — Grand Palais, Wat Pho, Wat Arun sans chaleur écrasante."
bangkok,🍜,Street food,"Toute l'année — Chinatown, marchés nocturnes, cours de cuisine thaï."
bangkok,🛍️,Shopping,"Novembre-janvier — Chatuchak, malls géants, soldes de fin d'année."
bangkok,👨‍👩‍👧,Famille,"Décembre-janvier — saison sèche, Safari World, parcs aquatiques."
bangkok,🥾,Excursions,"Novembre-mars — Ayutthaya (UNESCO), Kanchanaburi, Floating Market."
bangkok,💰,Budget,"Avril-mai — basse saison, tarifs minimaux, Songkran en avril."
barbade,🏖️,Plage & lagon,"Juillet-août — Carlisle Bay, Bridgetown, Oistins Bay."
barbade,🤿,Plongée & snorkeling,"Octobre-janvier — meilleure visibilité, récifs coralliens vivants."
barbade,🐬,Dauphins & baleines,Juillet-septembre — dauphins spinner sur la côte ouest.
barbade,👨‍👩‍👧,Famille,"Juillet — alizés doux, mer calme, resorts familiaux."
barbade,🥾,Randonnée,"Juin-septembre — parcs nationaux, sentiers côtiers."
barcelone,🏖️,Plage,"Juin-septembre — Barceloneta, Bogatell, eau 24°C."
barcelone,🏛️,Gaudí & architecture,"Avril-mai ou octobre — Sagrada Família, Park Güell sans files interminables."
barcelone,🎉,Festivals,"Juin-août — Primavera Sound, Sónar, Festa Major de Gràcia."
barcelone,🍽️,Gastronomie,"Toute l'année — tapas, cava, marché de la Boqueria."
barcelone,👨‍👩‍👧,Famille,"Juin ou septembre — plage, Tibidabo, Aquàrium, Zoo."
barcelone,💰,Budget,"Novembre-mars — hôtels souvent moins chers, sans foule estivale."
berlin,🏛️,Histoire & musées,"Toute l'année — Pergamon, DDR Museum, Mémorial de l'Holocauste."
berlin,🎵,Scène musicale,"Juin-août — festivals open-air, clubs, scène électro mondiale."
berlin,🌿,Parcs & Tiergarten,"Mai-septembre — Tiergarten, Treptower Park, baignades en lac."
berlin,🍻,Bière & gastronomie,"Toute l'année — Markthalle Neun, brasseries artisanales, currywurst."
berlin,👨‍👩‍👧,Famille,"Juin-août — LEGOLAND Discovery Centre, Zoo de Berlin, jours longs."
berlin,💰,Budget,"Novembre-mars — hôtels très accessibles, marchés de Noël, musées gratuits."
bordeaux,🍷,Vignobles,"Septembre-octobre — vendanges, Route des Châteaux, Saint-Émilion en fête."
bordeaux,🚲,Vélo & Garonne,"Avril-juin ou septembre — pistes cyclables, croisières fluviales."
bordeaux,🏛️,Architecture,"Toute l'année — Place de la Bourse, CAPC, Cité du Vin."
bordeaux,👨‍👩‍👧,Famille,"Juin-août — Dune du Pilat, côte Atlantique à 1h, Base sous-marine."
bordeaux,🏄,Surf & Atlantique,"Juin-septembre — Lacanau, Hossegor à 1h, vagues de renommée mondiale."
bordeaux,💰,Budget,"Novembre-mars — hôtels accessibles, gastronomie toute l'année."
