slug,icon,title,text
agadir,🏖️,Beach & Surfing,"Year-round — one of Morocco's best surf spots, consistent wind."
agadir,🏌️,Golf,"October–April — 3 top-rated courses, ideal temperatures of 20–25°C."
agadir,🥾,Anti-Atlas Hiking,"October–March — Anti-Atlas mountains accessible from Agadir, Berber villages."
agadir,👨‍👩‍👧,Family,"April–May or October — warm sea, safe beach, less extreme heat."
agadir,💰,Budget,"November–March — off summer season, accommodation prices -30%."
agadir,🍽️,Food & Dining,"Year-round — grilled fish at the port, tagines, argan oil."
algarve,🏖️,Beach & Cliffs,"July–August — Praia da Marinha, Ponta da Piedade, Meia Praia."
algarve,🌊,Surfing,October–March — Sagres and Arrifana for Atlantic swells.
algarve,🚣,Kayaking & Caves,"June–September — calm sea, Benagil caves accessible."
algarve,👨‍👩‍👧,Family,"June or September — sea 20–22°C, safe beaches."
algarve,💰,Budget,"March or November — decent weather, prices -40%."
alicante,🏖️,Beach,"June–September — Playa de San Juan, calm warm waters (26°C)."
alicante,🏛️,Santa Bárbara Castle,"April–May or October — visit without the heat, panoramic city views."
alicante,🍇,Food & Wine,"Year-round — DO Alicante wines, tapas, arroz a banda."
alicante,👨‍👩‍👧,Family,"June or September — warm sea, family beaches, fewer crowds."
alicante,💰,Budget,"May or October — pleasant temperatures, prices -30% vs July."
alicante,🥾,Sierra de Aitana,March–May or October — hiking trails 30 min from Alicante.
amalfi,🏖️,Beach & Swimming,"June–September — Positano and Maiori beaches, sea 24–26°C."
amalfi,🥾,Path of the Gods,May or September–October — Agerola-to-Positano trail.
amalfi,🚢,Boat Trip,"June–September — Capri, Blue Grotto from Amalfi."
amalfi,👨‍👩‍👧,Family,"June — roads manageable, reasonable crowds."
amalfi,📸,Photography,"September — golden light, empty terraces."
amsterdam,🌷,Tulips & Keukenhof,"Mid-March to mid-May — 7 million flowers, Keukenhof open only 8 weeks."
amsterdam,🚲,Cycling & Canals,"May–September — world-class cycling network, canal cruises."
amsterdam,🏛️,Museums,"Year-round — Rijksmuseum, Van Gogh, Anne Frank House without winter queues."
amsterdam,🎉,Parties & Festivals,"April–August — King's Day (Apr 27), Pride, outdoor festivals."
amsterdam,👨‍👩‍👧,Family,"June–August — NEMO Science Museum, Artis Zoo, very long days."
amsterdam,💰,Budget,"November–March — hotels often cheaper, museums accessible, local atmosphere."
bali,🌴,Beach & Surfing,"June–September — south coast (Seminyak, Canggu). West coast surf season: April–October."
bali,🛕,Temples & Culture,"May or October — before/after peak season, fewer crowds."
bali,🥾,Volcano Trek,July–August — Agung and Batur in best visibility conditions.
bali,👨‍👩‍👧,Family,"July–August — dry season, water activities, but higher prices."
bali,💆,Retreat / Yoga,"May or October — fewer crowds, lower prices, good weather."
bangkok,🛕,Temples & Palaces,"November–February — Grand Palace, Wat Pho, Wat Arun without crushing heat."
bangkok,🍜,Street Food,"Year-round — Chinatown, night markets, Thai cooking classes."
bangkok,🛍️,Shopping,"November-January — Chatuchak, mega malls, year-end sales."
bangkok,👨‍👩‍👧,Family,"December-January — dry season, Safari World, water parks."
bangkok,🥾,Day Trips,"November–March — Ayutthaya (UNESCO), Kanchanaburi, Floating Market."
bangkok,💰,Budget,"April–May — low season, lowest prices, Songkran in April."
barbade,🏖️,Beach & Lagoon,"July–August — Carlisle Bay, Bridgetown, Oistins Bay."
barbade,🤿,Diving & Snorkelling,"October-January — best visibility, living coral reefs."
barbade,🐬,Dolphins & Whales,July–September — spinner dolphins off the west coast.
barbade,👨‍👩‍👧,Family,"July — gentle trade winds, calm sea, family resorts."
barbade,🥾,Hiking,"June–September — national parks, coastal trails."
barcelone,🏖️,Beach,"June–September — Barceloneta, Bogatell, water 24°C."
barcelone,🏛️,Gaudí & Architecture,"April–May or October — Sagrada Família, Park Güell without endless queues."
barcelone,🎉,Festivals,"June–August — Primavera Sound, Sónar, Festa Major de Gràcia."
barcelone,🍽️,Food & Dining,"Year-round — tapas, cava, La Boqueria market."
barcelone,👨‍👩‍👧,Family,"June or September — beach, Tibidabo, Aquarium, Zoo."
barcelone,💰,Budget,"November–March — hotels often cheaper, no summer crowds."
berlin,🏛️,History & Museums,"Year-round — Pergamon, DDR Museum, Holocaust Memorial."
berlin,🎵,Music Scene,"June–August — outdoor festivals, clubs, world-class electronic music scene."
berlin,🌿,Parks & Tiergarten,"May–September — Tiergarten, Treptower Park, lake swimming."
berlin,🍻,Beer & Food,"Year-round — Markthalle Neun, craft breweries, currywurst."
berlin,👨‍👩‍👧,Family,"June–August — LEGOLAND Discovery Centre, Berlin Zoo, long days."
berlin,💰,Budget,"November–March — very affordable hotels, Christmas markets, free museums."
